Unnamed: 0,品种,籼稻/粳稻,品种类型,常规/杂交,产地,收获期,是否属于香稻,备注：补充其他显著特征,出糙率,整精密率,垩白粒率,垩白度,直链淀粉含量,胶稠度,长宽比
1,鄂早18,籼稻,早稻,常规,武汉,2023.07,否,,78.4,45.6,23.0,6.5,15.4,75.0,3.4
2,中嘉早17,籼稻,早稻,常规,武汉,2023.07,否,,81.4,64.4,96.0,15.3,25.4,57.0,2.3
3,E两优629,籼稻,早稻,常规,武汉,2023.07,否,,80.6,64.7,35.0,9.6,14.4,81.0,3.2
4,丰两优4号,籼稻,中稻,杂交,武汉,2023.09,否,,80.6,60.3,21.0,2.9,16.1,75.0,2.9
5,鄂中5号,籼稻,中稻,常规,鄂州,2023.1,否,,78.1,60.0,0.0,0.0,15.1,83.0,3.6
6,黄华占,籼稻,中稻,常规,鄂州,2023.1,否,,80.9,63.8,5.0,0.6,17.8,78.0,3.0
7,荃优607,籼稻,中稻,常规,鄂州,2023.09,否,,80.6,71.4,,2.2,17.1,61.0,3.1
8,桂朝2号,籼稻,中稻,常规,鄂州,2023.09,否,,81.8,63.6,5.0,0.6,17.8,78.0,3.0
9,珍糯,籼稻,中稻,常规,鄂州,2023.09,否,,77.4,61.3,,,1.55,100.0,3.2
10,红糯优1号,籼稻,中稻,常规,鄂州,2023.09,否,,79.1,62.8,,0.5,1.5,100.0,3.3
11,丰两香优1号（头季）,籼稻,再生稻,杂交,鄂州,2023.08,否,,80.2,61.9,36.0,4.1,16.3,58.0,3.0
12,秧荪1号（头季）,籼稻,再生稻,杂交,鄂州,2023.08,否,,78.8,47.8,33.0,5.4,16.7,62.0,3.1
13,丰两香优1号（再生季）,籼稻,再生稻,杂交,鄂州,2023.1,是,,,,,,,,
14,甬优1540,粳稻,中稻,杂交,武汉,2023.1,否,籼粳交，稻米品质偏粳,83.5,75.7,18.0,4.5,16.2,68.0,2.4
15,花8S/花强恢1号,籼稻,中稻,杂交,鄂州,2023.09,否,,,,,,,,
16,虾稻1号,籼稻,中稻,常规,鄂州,2023.09,否,,77.0,57.9,13.0,3.3,16.5,64.0,3.9
17,亚两优美香新占,籼稻,中稻,常规,鄂州,2023.09,否,,,60.3,,,,75.0,3.4
18,五优308,籼稻,早熟中稻,杂交,孝南,2023.1,否,,82.3,59.1,6.0,0.8,20.6,58.0,2.9
19,美香占2号,籼稻,晚稻,常规,广州,2023.09,是,,,67.0,20.0,1.4,17.6,77.0,
20,福香占,籼稻,中稻,常规,福建,2023.09,是,,79.9,59.8,,0.1,15.6,72.0,3.9
21,龙粳31,粳稻,中稻,常规,黑龙江,2023.1,否,,81.2,71.7,1.0,0.1,17.16,70.8,2.8
22,稻花香2号,粳稻,中稻,常规,黑龙江,2023.1,是,,84.7,64.8,46.0,7.0,16.6,65.0,2.7
23,南粳9108,粳稻,中稻,常规,江苏,2023.1,否,,85.4,71.4,10.0,3.1,14.5,90.0,
24,南粳46,粳稻,中稻,常规,江苏,2023.1,否,,83.5,66.6,21.0,2.5,15.25,79.0,
25,宁香粳9号,粳稻,中稻,常规,江苏,2023.1,是,,80.3,66.1,46.0,10.8,12.3,80.0,1.8
26,鄂粳409,粳稻,晚稻,常规,鄂州,2023.1,否,,84.8,74.5,23.0,2.0,15.5,70.0,1.7
